Date,Open,Close,High,Low
19/01/2024,58.69%,57.94%,58.69%,57.94%
22/01/2024,59.10%,59.00%,59.10%,59.00%
23/01/2024,58.80%,58.80%,58.80%,58.80%
24/01/2024,59.13%,59.14%,59.14%,59.13%
25/01/2024,58.84%,58.80%,59.15%,58.80%
26/01/2024,58.82%,59.12%,59.12%,58.82%
29/01/2024,59.09%,59.07%,59.09%,59.00%
30/01/2024,59.28%,59.11%,59.28%,59.11%
31/01/2024,59.10%,59.04%,59.10%,59.04%
1/2/2024,59.09%,59.09%,59.09%,59.09%
2/2/2024,59.44%,59.21%,59.44%,59.21%
5/2/2024,59.43%,59.95%,59.95%,59.28%
6/2/2024,59.37%,59.42%,59.42%,59.21%
7/2/2024,59.20%,59.90%,59.90%,59.20%
8/2/2024,59.38%,59.98%,59.98%,59.20%
9/2/2024,59.35%,59.40%,59.40%,59.35%
12/2/2024,58.78%,58.63%,58.78%,58.55%
13/02/2024,58.63%,58.58%,58.63%,58.58%
14/02/2024,58.95%,58.85%,58.95%,58.83%
15/02/2024,58.83%,58.60%,58.83%,58.60%
16/02/2024,58.95%,58.55%,58.95%,58.55%
19/02/2024,58.55%,58.56%,58.56%,58.55%
20/02/2024,59.05%,58.81%,59.05%,58.81%
21/02/2024,59.02%,58.72%,59.02%,58.72%
22/02/2024,59.00%,59.10%,59.10%,58.70%
23/02/2024,59.07%,59.62%,59.62%,59.07%
